tipo_de_dado,titulo,citacao_abnt,link,orgao_responsavel,nivel_fonte,cobertura_temporal,forma_de_acesso,ciclos_atendidos,data_consulta,status_verificacao,observacoes
diario_oficial,Diário Oficial da União,"BRASIL. Imprensa Nacional. Diário Oficial da União. Brasília, [s.d.]. Disponível em: https://www.in.gov.br. Acesso em: 22 ago. 2026.",https://www.in.gov.br,Imprensa Nacional,1,1862-presente,busca web por data,c1;c2;c3;c4,2026-08-22,pendente,"Sem API pública estável. Limite conhecido (PROTOCOLO §6.1): registra o que virou ato, não a tentativa fracassada."
diario_oficial,Constituição da República Federativa do Brasil de 1988,"BRASIL. Constituição da República Federativa do Brasil de 1988. Brasília: Presidência da República, 1988. Disponível em: https://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm. Acesso em: 22 ago. 2026.",https://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm,Presidência da República,1,1988,busca web,c1;c2,2026-08-22,pendente,Elo 2 da cadeia C1->C2 (MI-C1-03).
judicial,Portal do Supremo Tribunal Federal — acórdãos,"BRASIL. Supremo Tribunal Federal. Pesquisa de jurisprudência. Brasília, [s.d.]. Disponível em: https://portal.stf.jus.br. Acesso em: 22 ago. 2026.",https://portal.stf.jus.br,Supremo Tribunal Federal,1,varia,busca web,c2;c4,2026-08-22,pendente,Rito do impeachment em 1992 e em 2015-16.
eleitoral,Eleição de 1985: fidelidade partidária no Colégio Eleitoral,"BRASIL. Tribunal Superior Eleitoral. Eleição de 1985: fidelidade partidária no Colégio Eleitoral. Julgados históricos. Brasília, [s.d.]. Disponível em: https://www.tse.jus.br/jurisprudencia/julgados-historicos/eleicao-de-1985-fidelidade-partidaria-no-colegio-eleitoral. Acesso em: 22 ago. 2026.",https://www.tse.jus.br/jurisprudencia/julgados-historicos/eleicao-de-1985-fidelidade-partidaria-no-colegio-eleitoral,Tribunal Superior Eleitoral,2,1985,busca web,c1,2026-08-22,verificado_fonte_oficial,"Fonte de EV-C1-T1-001 (480x180, 26 abstenções). Elevar a nível 1 pela ata no Diário do Congresso de 16/01/1985."
eleitoral,"Há 30 anos, eleição indireta encerrava regime militar","BRASIL. Câmara dos Deputados. Há 30 anos, eleição indireta encerrava regime militar. Agência Câmara, Brasília, 2015. Disponível em: https://www.camara.leg.br/noticias/448672-ha-30-anos-eleicao-indireta-encerrava-regime-militar/. Acesso em: 22 ago. 2026.",https://www.camara.leg.br/noticias/448672-ha-30-anos-eleicao-indireta-encerrava-regime-militar/,Câmara dos Deputados,2,1985,busca web,c1,2026-08-22,verificado_fonte_oficial,Corrobora EV-C1-T1-001. Composição do Colégio Eleitoral (686 membros).
eleitoral,Repositório de dados eleitorais do TSE,"BRASIL. Tribunal Superior Eleitoral. Repositório de dados eleitorais. Brasília, [s.d.]. Disponível em: https://dadosabertos.tse.jus.br. Acesso em: 22 ago. 2026.",https://dadosabertos.tse.jus.br,Tribunal Superior Eleitoral,1,1945-presente,download,c1;c2;c3;c4,2026-08-22,pendente,"Elo 3 da cadeia C1->C2 (eleição de 1989, MI-C1-04) e indicador ano_eleitoral do T-1 estrutural."
estatistica_socioeconomica,Sistema Gerenciador de Séries Temporais (SGS) do Banco Central,"BRASIL. Banco Central do Brasil. Sistema Gerenciador de Séries Temporais. Brasília, [s.d.]. Disponível em: https://api.bcb.gov.br/dados/serie/bcdata.sgs.433/dados?formato=json. Acesso em: 22 ago. 2026.",https://api.bcb.gov.br/dados/serie/bcdata.sgs.433/dados?formato=json,Banco Central do Brasil,1,1980-presente (série 433),API REST (JSON),c1;c2;c3;c4,2026-08-22,pendente,Série 433 = IPCA mensal. Automatizado em scripts/extrai_series_estruturais.py. Indicador 'inflação' do modelo grievance.
estatistica_socioeconomica,SIDRA — Sistema IBGE de Recuperação Automática,"INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. SIDRA: Sistema IBGE de Recuperação Automática. Rio de Janeiro, [s.d.]. Disponível em: https://sidra.ibge.gov.br. Acesso em: 22 ago. 2026.",https://sidra.ibge.gov.br,IBGE,1,varia por agregado,API REST / download,c1;c2;c3;c4,2026-08-22,pendente,"Agregados: 1737 (IPCA), 6784 (Contas Nacionais), 202/6579 (urbanização), 7358 (projeções por idade). ATENÇÃO: transição PNAD->PNADC em 2012 quebra a série de escolaridade."
estatistica_socioeconomica,Sistema de Acompanhamento de Greves (SAG),"DEPARTAMENTO INTERSINDICAL DE ESTATÍSTICA E ESTUDOS SOCIOECONÔMICOS. Sistema de Acompanhamento de Greves. São Paulo, [s.d.]. Disponível em: https://www.dieese.org.br. Acesso em: 22 ago. 2026.",https://www.dieese.org.br,DIEESE,2,1978-presente,download / relatórios,c1;c2;c3;c4,2026-08-22,pendente,Único caminho viável para o indicador de capacidade organizacional na série longa: não há série oficial governamental equivalente.
banco_de_eventos_de_protesto,Banco de protestos NEPAC/UNICAMP (2011-2016),"TATAGIBA, Luciana; GALVÃO, Andréia. Os protestos no Brasil em tempos de crise (2011-2016). Opinião Pública, Campinas, v. 25, n. 1, p. 63-96, 2019.",,NEPAC/UNICAMP,4,2011-2016,arquivo local (data/bancos-externos/),c3;c4,2026-08-22,verificado_fonte_oficial,2.548 registros / 1.284 eventos. ATENÇÃO: o CSV está no nível veículo x evento — contar linhas dobra o N. Fonte primária: Acervo Folha (não independente da AEP do projeto).
banco_de_eventos_de_protesto,Mass Mobilization Project (v16),"CLARK, David; REGAN, Patrick. Mass Mobilization Protest Data. Harvard Dataverse, 2020. Disponível em: https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HTTWYL. Acesso em: 22 ago. 2026.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HTTWYL,Binghamton University,4,1990-2020,arquivo local (data/bancos-externos/),c2;c3;c4,2026-08-22,verificado_fonte_oficial,224 protestos no Brasil (ccode 140). Imprensa internacional via Lexis-Nexis — a ÚNICA perna da triangulação independente da Folha.
acervo_jornalistico,Acervo Folha de S.Paulo,"FOLHA DE S.PAULO. Acervo Folha. São Paulo, [s.d.]. Disponível em: https://acervo.folha.com.br. Acesso em: 22 ago. 2026.",https://acervo.folha.com.br,Grupo Folha,3,1921-presente,assinatura + scraping (Playwright),c1;c2;c3;c4,2026-08-22,pendente,Base da AEP do projeto (pipeline/). Exige credenciais. Uso como dado de DOS é nível 3 declarado (PROTOCOLO §7).
acervo_institucional,Biblioteca Digital da Câmara dos Deputados,"BRASIL. Câmara dos Deputados. Biblioteca Digital. Brasília, [s.d.]. Disponível em: https://bd.camara.leg.br. Acesso em: 22 ago. 2026.",https://bd.camara.leg.br,Câmara dos Deputados,2,varia,busca web / PDF,c1;c2;c3;c4,2026-08-22,verificado_fonte_oficial,Fonte de EV-C3-T1-001 (PEC 37: 430x9). Monografias da Consultoria Legislativa; frequentemente citam o nível 1.
acervo_institucional,Biblioteca Digital do Senado Federal,"BRASIL. Senado Federal. Biblioteca Digital. Brasília, [s.d.]. Disponível em: https://www2.senado.leg.br/bdsf. Acesso em: 22 ago. 2026.",https://www2.senado.leg.br/bdsf,Senado Federal,2,varia,busca web / PDF,c1;c2;c3;c4,2026-08-22,pendente,
acervo_institucional,Agência Brasil / EBC,"EMPRESA BRASIL DE COMUNICAÇÃO. Agência Brasil. Brasília, [s.d.]. Disponível em: https://agenciabrasil.ebc.com.br. Acesso em: 22 ago. 2026.",https://agenciabrasil.ebc.com.br,EBC,2,2004-presente,busca web,c1;c2;c3;c4,2026-08-22,pendente,Fonte prioritária de docs/cronologia-validada.md.
acervo_institucional,CPDOC/FGV — Dicionário Histórico-Biográfico Brasileiro,"FUNDAÇÃO GETULIO VARGAS. CPDOC: Dicionário Histórico-Biográfico Brasileiro. Rio de Janeiro, [s.d.]. Disponível em: https://cpdoc.fgv.br. Acesso em: 22 ago. 2026.",https://cpdoc.fgv.br,CPDOC/FGV,4,1930-presente,busca web,c1;c2,2026-08-22,pendente,"Nível 4: interpreta e localiza, não estabelece fato institucional."
