ano,indicador,modelo_teorico,valor,unidade,fonte_orgao,fonte_serie,efeito_esperado,fonte_url,data_consulta,status_verificacao
1979,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1979,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1979,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1979,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1980,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1980,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1980,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1980,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1980,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1980,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1980,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1980,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1981,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1981,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1981,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1981,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1981,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1981,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1981,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1981,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1982,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1982,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1982,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1982,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1982,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1982,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1982,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1982,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1983,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1983,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1983,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1983,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1983,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1983,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1983,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1983,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1984,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1984,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1984,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1984,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1984,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1984,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1984,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1984,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1985,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1985,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1985,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1985,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1985,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1985,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1985,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1985,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1986,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1986,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1986,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1986,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1986,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1986,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1986,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1986,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1987,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1987,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1987,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1987,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1987,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1987,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1987,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1987,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1988,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1988,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1988,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1988,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1988,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1988,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1988,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1988,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1989,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1989,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1989,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1989,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1989,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1989,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1989,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1989,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1990,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1990,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1990,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1990,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1990,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1990,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1990,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1990,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1991,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1991,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1991,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1991,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1991,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1991,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1991,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1991,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1992,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1992,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1992,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1992,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1992,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1992,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1992,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1992,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1993,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1993,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1993,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1993,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1993,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1993,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1993,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1993,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1994,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1994,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1994,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1994,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1994,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1994,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1994,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1994,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1995,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1995,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1995,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1995,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1995,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1995,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1995,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1995,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1996,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1996,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1996,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1996,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1996,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1996,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1996,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1996,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1997,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1997,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1997,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1997,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1997,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1997,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1997,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1997,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1998,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1998,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1998,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1998,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1998,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1998,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1998,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1998,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1999,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1999,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1999,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1999,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1999,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1999,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1999,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1999,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2000,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2000,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2000,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2000,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2000,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2000,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2000,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2000,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2001,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2001,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2001,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
